Date : 2023-06-27 01:17:24
Directory : /home/blackflage10/Desktop/c/minecraft/src
Total : 300 files,  -38885 codes, -13528 comments, -9527 blanks, all -61940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/ortho_lh_no.c                 | C                |        -38 |         -6 |         -8 |        -52 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/ortho_lh_zo.c                 | C                |        -38 |         -6 |         -8 |        -52 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/ortho_rh_no.c                 | C                |        -38 |         -6 |         -8 |        -52 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/ortho_rh_zo.c                 | C                |        -38 |         -6 |         -8 |        -52 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/persp_lh_no.c                 | C                |        -90 |         -6 |        -15 |       -111 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/persp_lh_zo.c                 | C                |        -90 |         -6 |        -15 |       -111 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/persp_rh_no.c                 | C                |        -90 |         -6 |        -15 |       -111 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/persp_rh_zo.c                 | C                |        -90 |         -6 |        -15 |       -111 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/project_no.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/project_zo.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/view_lh_no.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/view_lh_zo.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/view_rh_no.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/clipspace/view_rh_zo.c                  | C                |        -17 |         -6 |         -5 |        -28 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/config.h                                | C++              |         -8 |         -8 |         -7 |        -23 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/curve.c                                 | C                |         -7 |         -6 |         -3 |        -16 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/ease.c                                  | C                |       -157 |         -6 |        -33 |       -196 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/euler.c                                 | C                |        -47 |         -6 |        -11 |        -64 |
