Date : 2023-06-27 01:17:24
Directory : /home/blackflage10/Desktop/c/minecraft/src
Total : 300 files,  -38885 codes, -13528 comments, -9527 blanks, all -61940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Shell Script     |          1 |        -10 |         -7 |         -5 |        -22 |
| GLSL             |          2 |        -20 |          0 |         -6 |        -26 |
| Makefile         |          1 |        -24 |          0 |         -7 |        -31 |
| Ruby             |          1 |        -26 |         -5 |         -7 |        -38 |
| Batch            |          2 |        -29 |          0 |        -10 |        -39 |
| Swift            |          1 |        -41 |         -1 |         -3 |        -45 |
| Python           |          1 |        -47 |       -109 |        -48 |       -204 |
| YAML             |          5 |       -139 |        -14 |        -32 |       -185 |
| CMake            |          5 |       -200 |        -10 |        -42 |       -252 |
| Markdown         |          3 |       -438 |          0 |       -128 |       -566 |
| XML              |          2 |     -1,010 |          0 |         -1 |     -1,011 |
| reStructuredText |         46 |     -4,039 |       -552 |     -2,220 |     -6,811 |
| C                |         79 |    -12,979 |     -2,850 |     -1,910 |    -17,739 |
| C++              |        151 |    -19,883 |     -9,980 |     -5,108 |    -34,971 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        300 |    -38,885 |    -13,528 |     -9,527 |    -61,940 |
| ..                                                                                             |        300 |    -38,885 |    -13,528 |     -9,527 |    -61,940 |
| .. (Files)                                                                                     |          4 |        -94 |          0 |        -25 |       -119 |
| ../res                                                                                         |          2 |        -20 |          0 |         -6 |        -26 |
| ../res/shaders                                                                                 |          2 |        -20 |          0 |         -6 |        -26 |
| ../vendor                                                                                      |        294 |    -38,771 |    -13,528 |     -9,496 |    -61,795 |
| ../vendor (Files)                                                                              |          1 |         -2 |          0 |          0 |         -2 |
| ../vendor/cglm                                                                                 |        287 |    -32,440 |    -13,299 |     -9,216 |    -54,955 |
| ../vendor/cglm (Files)                                                                         |          9 |       -721 |        -26 |       -183 |       -930 |
| ../vendor/cglm/.github                                                                         |          2 |        -80 |        -10 |        -17 |       -107 |
| ../vendor/cglm/.github (Files)                                                                 |          1 |         -6 |         -1 |         -2 |         -9 |
| ../vendor/cglm/.github/workflows                                                               |          1 |        -74 |         -9 |        -15 |        -98 |
| ../vendor/cglm/docs                                                                            |         48 |     -4,114 |       -661 |     -2,277 |     -7,052 |
| ../vendor/cglm/docs (Files)                                                                    |          1 |        -28 |          0 |         -9 |        -37 |
| ../vendor/cglm/docs/source                                                                     |         47 |     -4,086 |       -661 |     -2,268 |     -7,015 |
| ../vendor/cglm/include                                                                         |        153 |    -15,346 |    -11,994 |     -3,648 |    -30,988 |
| ../vendor/cglm/include/cglm                                                                    |        153 |    -15,346 |    -11,994 |     -3,648 |    -30,988 |
| ../vendor/cglm/include/cglm (Files)                                                            |         40 |     -6,218 |     -4,681 |     -1,295 |    -12,194 |
| ../vendor/cglm/include/cglm/call                                                               |         38 |     -2,201 |       -236 |       -726 |     -3,163 |
| ../vendor/cglm/include/cglm/call (Files)                                                       |         24 |     -1,703 |       -152 |       -576 |     -2,431 |
| ../vendor/cglm/include/cglm/call/clipspace                                                     |         14 |       -498 |        -84 |       -150 |       -732 |
| ../vendor/cglm/include/cglm/clipspace                                                          |         17 |     -1,242 |     -1,494 |       -333 |     -3,069 |
| ../vendor/cglm/include/cglm/simd                                                               |         20 |     -1,941 |       -560 |       -537 |     -3,038 |
| ../vendor/cglm/include/cglm/simd (Files)                                                       |          4 |       -678 |        -42 |       -121 |       -841 |
| ../vendor/cglm/include/cglm/simd/avx                                                           |          2 |        -82 |        -32 |        -30 |       -144 |
| ../vendor/cglm/include/cglm/simd/neon                                                          |          4 |       -310 |       -123 |       -110 |       -543 |
| ../vendor/cglm/include/cglm/simd/sse2                                                          |          5 |       -428 |       -165 |       -141 |       -734 |
| ../vendor/cglm/include/cglm/simd/wasm                                                          |          5 |       -443 |       -198 |       -135 |       -776 |
| ../vendor/cglm/include/cglm/struct                                                             |         38 |     -3,744 |     -5,023 |       -757 |     -9,524 |
| ../vendor/cglm/include/cglm/struct (Files)                                                     |         24 |     -2,924 |     -3,629 |       -561 |     -7,114 |
| ../vendor/cglm/include/cglm/struct/clipspace                                                   |         14 |       -820 |     -1,394 |       -196 |     -2,410 |
| ../vendor/cglm/src                                                                             |         40 |     -3,030 |       -233 |       -647 |     -3,910 |
| ../vendor/cglm/src (Files)                                                                     |         25 |     -2,416 |       -148 |       -525 |     -3,089 |
| ../vendor/cglm/src/clipspace                                                                   |         14 |       -614 |        -84 |       -122 |       -820 |
| ../vendor/cglm/src/swift                                                                       |          1 |          0 |         -1 |          0 |         -1 |
| ../vendor/cglm/test                                                                            |         32 |     -8,138 |       -375 |     -2,442 |    -10,955 |
| ../vendor/cglm/test (Files)                                                                    |          3 |     -1,676 |        -59 |       -124 |     -1,859 |
| ../vendor/cglm/test/include                                                                    |          1 |       -125 |         -7 |        -28 |       -160 |
| ../vendor/cglm/test/src                                                                        |         28 |     -6,337 |       -309 |     -2,290 |     -8,936 |
| ../vendor/cglm/win                                                                             |          3 |     -1,011 |          0 |         -2 |     -1,013 |
| ../vendor/glad2                                                                                |          6 |     -6,329 |       -229 |       -280 |     -6,838 |
| ../vendor/glad2 (Files)                                                                        |          1 |         -3 |          0 |         -1 |         -4 |
| ../vendor/glad2/include                                                                        |          3 |     -4,252 |       -223 |       -145 |     -4,620 |
| ../vendor/glad2/include/KHR                                                                    |          1 |       -117 |       -165 |        -30 |       -312 |
| ../vendor/glad2/include/glad                                                                   |          2 |     -4,135 |        -58 |       -115 |     -4,308 |
| ../vendor/glad2/src                                                                            |          2 |     -2,074 |         -6 |       -134 |     -2,214 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/blackflage10/Desktop/c/minecraft/CMakeLists.txt                                          | CMake            |         -8 |          0 |         -4 |        -12 |
| /home/blackflage10/Desktop/c/minecraft/Makefile                                                | Makefile         |        -24 |          0 |         -7 |        -31 |
| /home/blackflage10/Desktop/c/minecraft/README.md                                               | Markdown         |         -3 |          0 |         -1 |         -4 |
| /home/blackflage10/Desktop/c/minecraft/main.c                                                  | C                |        -59 |          0 |        -13 |        -72 |
| /home/blackflage10/Desktop/c/minecraft/res/shaders/fragment.frag                               | GLSL             |         -8 |          0 |         -3 |        -11 |
| /home/blackflage10/Desktop/c/minecraft/res/shaders/vertex.vert                                 | GLSL             |        -12 |          0 |         -3 |        -15 |
| /home/blackflage10/Desktop/c/minecraft/vendor/CMakeLists.txt                                   | CMake            |         -2 |          0 |          0 |         -2 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/.github/FUNDING.yml                         | YAML             |         -6 |         -1 |         -2 |         -9 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/.github/workflows/cmake-wasm.yml            | YAML             |        -74 |         -9 |        -15 |        -98 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/.travis.yml                                 | YAML             |        -53 |         -4 |        -12 |        -69 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/CMakeLists.txt                              | CMake            |       -150 |         -9 |        -26 |       -185 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/CONTRIBUTING.md                             | Markdown         |        -41 |          0 |        -13 |        -54 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/Package.swift                               | Swift            |        -41 |         -1 |         -3 |        -45 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/README.md                                   | Markdown         |       -394 |          0 |       -114 |       -508 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/_config.yml                                 | YAML             |         -1 |          0 |          0 |         -1 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/appveyor.yml                                | YAML             |         -5 |          0 |         -3 |         -8 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/autogen.sh                                  | Shell Script     |        -10 |         -7 |         -5 |        -22 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/cglm.podspec                                | Ruby             |        -26 |         -5 |         -7 |        -38 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/make.bat                               | Batch            |        -28 |          0 |         -9 |        -37 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-common.rst               | reStructuredText |        -77 |        -12 |        -41 |       -130 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-mat.rst                  | reStructuredText |        -57 |         -8 |        -35 |       -100 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-post.rst                 | reStructuredText |        -77 |        -12 |        -41 |       -130 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-pre.rst                  | reStructuredText |       -144 |        -23 |        -74 |       -241 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine.rst                      | reStructuredText |       -129 |         -8 |        -60 |       -197 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine2d.rst                    | reStructuredText |        -80 |        -13 |        -47 |       -140 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api.rst                         | reStructuredText |        -20 |         -1 |         -8 |        -29 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_call.rst                    | reStructuredText |         -7 |          0 |         -4 |        -11 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_inline_array.rst            | reStructuredText |        -58 |         -1 |        -12 |        -71 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_simd.rst                    | reStructuredText |         -9 |          0 |         -4 |        -13 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_struct.rst                  | reStructuredText |        -66 |         -2 |        -31 |        -99 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/bezier.rst                      | reStructuredText |        -49 |         -8 |        -33 |        -90 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/box.rst                         | reStructuredText |       -106 |        -15 |        -61 |       -182 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/build.rst                       | reStructuredText |        -89 |        -11 |        -54 |       -154 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/call.rst                        | reStructuredText |        -13 |         -1 |         -6 |        -20 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/cam.rst                         | reStructuredText |       -196 |        -25 |        -93 |       -314 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/color.rst                       | reStructuredText |        -18 |         -3 |        -14 |        -35 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/conf.py                         | Python           |        -47 |       -109 |        -48 |       -204 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/curve.rst                       | reStructuredText |        -22 |         -3 |        -17 |        -42 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/euler.rst                       | reStructuredText |       -107 |        -13 |        -63 |       -183 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/features.rst                    | reStructuredText |        -27 |          0 |         -2 |        -29 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/frustum.rst                     | reStructuredText |       -106 |        -12 |        -51 |       -169 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/getting_started.rst             | reStructuredText |        -71 |         -3 |        -32 |       -106 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/index.rst                       | reStructuredText |        -32 |         -6 |        -16 |        -54 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/io.rst                          | reStructuredText |        -70 |        -10 |        -40 |       -120 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/ivec2.rst                       | reStructuredText |       -104 |        -17 |        -59 |       -180 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/ivec3.rst                       | reStructuredText |       -104 |        -17 |        -59 |       -180 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/ivec4.rst                       | reStructuredText |       -104 |        -17 |        -59 |       -180 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/mat2.rst                        | reStructuredText |       -108 |        -18 |        -65 |       -191 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/mat3.rst                        | reStructuredText |       -114 |        -19 |        -68 |       -201 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/mat4.rst                        | reStructuredText |       -185 |        -29 |       -102 |       -316 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/opengl.rst                      | reStructuredText |        -37 |         -4 |        -21 |        -62 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/opt.rst                         | reStructuredText |        -86 |         -1 |        -48 |       -135 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/plane.rst                       | reStructuredText |        -17 |         -2 |        -15 |        -34 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/project.rst                     | reStructuredText |        -71 |         -9 |        -39 |       -119 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/quat.rst                        | reStructuredText |       -251 |        -37 |       -135 |       -423 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/ray.rst                         | reStructuredText |        -19 |         -2 |        -11 |        -32 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/sphere.rst                      | reStructuredText |        -42 |         -6 |        -27 |        -75 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/troubleshooting.rst             | reStructuredText |        -63 |         -2 |        -35 |       -100 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/util.rst                        | reStructuredText |       -100 |        -16 |        -67 |       -183 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/vec2-ext.rst                    | reStructuredText |        -78 |        -15 |        -51 |       -144 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/vec2.rst                        | reStructuredText |       -221 |        -35 |       -120 |       -376 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/vec3-ext.rst                    | reStructuredText |        -84 |        -16 |        -53 |       -153 |
